gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00	   15	  108  1.00  0.40 
    2   0.00   0.00  0.00  0.00	   15	   86  1.00  0.40 
    3   0.00   0.01  0.00  0.01	   11	  102  1.00  0.40 
    4   0.00   0.00  0.00  0.00	    7	  103  1.00  0.40 
    5   0.00   0.00  0.00  0.00	    8	  108  1.00  0.40 
    6   0.00   0.00  0.00  0.00	    6	   87  1.00  0.40 
    7   0.00   0.00  0.00  0.00	   11	   96  1.00  0.40 
    8   0.00   0.00  0.00  0.00	   11	  113  1.00  0.40 
    9   0.00   0.00  0.00  0.00	   11	  110  1.00  0.40 
   10   0.00   0.00  0.00  0.00	   10	   87  1.00  0.40 
   11   0.00   0.00  0.00  0.00	    9	  111  1.00  0.40 
   12   0.00   0.01  0.00  0.02	   13	  106  1.00  0.40 
   13   0.00   0.00  0.00  0.01	   12	   98  1.00  0.40 
   14   0.00   0.00  0.00  0.01	   10	   96  1.00  0.40 
   15   0.00   0.00  0.00  0.00	    5	   93  1.00  0.40 
   16   0.00   0.00  0.00  0.00	   10	   95  1.00  0.40 
   17   0.00   0.00  0.00  0.00	    8	  106  1.00  0.40 
   18   0.00   0.00  0.00  0.00	   12	   96  1.00  0.40 
   19   0.00   0.00  0.00  0.00	   11	   95  1.00  0.40 
   20   0.00   0.00  0.00  0.00	    6	   93  1.00  0.40 
   21   0.00   0.00  0.00  0.00	   11	   89  1.00  0.40 
   22  -0.04   0.00  0.15  0.00	   12	   99  1.00  0.40 
   23  -0.05   0.00  0.22  0.00	    8	   98  1.00  0.40 
   24  -0.06   0.00  0.24  0.00	   14	  102  1.00  0.40 
   25  -0.04   0.00  0.17  0.00	   11	   97  1.00  0.40 
   26  -0.08   0.00  0.30  0.01	   11	  101  1.00  0.40 
   27  -0.13   0.00  0.42  0.01	   10	  100  1.00  0.40 
   28  -0.15   0.00  0.44  0.00	    9	   95  1.00  0.40 
   29  -0.12   0.00  0.57  0.00	   13	  106  1.00  0.40 
   30  -0.19   0.00  0.49  0.00	    9	   95  1.00  0.40 
   31  -0.36   0.00  0.30  0.00	   11	  100  1.00  0.40 
   32  -0.40   0.00  0.13  0.00	   14	  110  1.00  0.40 
   33  -0.49   0.00  0.17  0.00	   11	   90  1.00  0.40 
   34  -0.60   0.00  0.40  0.00	   11	  105  1.00  0.40 
   35  -0.77   0.00  0.49  0.00	    9	   95  1.00  0.40 
   36  -0.74   0.00  0.50  0.00	   10	  101  1.00  0.40 
   37  -0.79   0.00  0.49  0.00	   12	   99  1.00  0.40 
   38  -0.99   0.00  0.15  0.00	   12	  104  1.00  0.40 
   39  -1.04   0.00  0.00  0.00	   14	  111  1.00  0.40 
   40  -1.06   0.00  0.14  0.00	   13	  100  1.00  0.40 
