gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00	 1000	 1000  1.00  0.40 
    2   0.00   0.00  0.01  0.00	 3000	 2000  1.00  0.40 
    3   0.00  -0.00  0.01  0.00	 9000	 4000  1.00  0.40 
    4   0.00  -0.00  0.02  0.00	10130	 7992  1.00  0.40 
    5   0.01  -0.00  0.04  0.01	 9900	 9949  1.00  0.40 
    6   0.00  -0.00  0.05  0.01	 9960	 9910  1.00  0.40 
    7   0.00  -0.00  0.07  0.01	10108	10059  1.00  0.40 
    8   0.01  -0.00  0.09  0.01	 9906	 9905  1.00  0.40 
    9   0.01  -0.00  0.13  0.01	 9937	 9918  1.00  0.40 
   10   0.01  -0.00  0.17  0.01	10021	 9879  1.00  0.40 
   11   0.02  -0.00  0.23  0.01	 9946	 9899  1.00  0.40 
   12   0.04  -0.00  0.30  0.01	10060	10023  1.00  0.40 
   13   0.07  -0.00  0.39  0.01	 9960	 9904  1.00  0.40 
   14   0.09  -0.00  0.49  0.01	 9967	10044  1.00  0.40 
   15   0.11  -0.00  0.60  0.01	10048	 9942  1.00  0.40 
   16   0.12  -0.00  0.70  0.01	 9951	10049  1.00  0.40 
   17   0.14  -0.00  0.80  0.01	 9927	10031  1.00  0.40 
   18   0.17  -0.00  0.88  0.01	10003	 9894  1.00  0.40 
   19   0.18   0.00  0.95  0.01	10061	10039  1.00  0.40 
   20   0.18   0.00  1.00  0.02	 9958	10019  1.00  0.40 
   21   0.21   0.00  1.04  0.01	 9945	 9885  1.00  0.40 
   22   0.19   0.00  1.06  0.01	 9963	 9987  1.00  0.40 
   23   0.22  -0.00  1.08  0.02	10061	 9993  1.00  0.40 
   24   0.24   0.00  1.10  0.02	10031	 9952  1.00  0.40 
   25   0.22   0.00  1.10  0.02	 9953	10084  1.00  0.40 
   26   0.23   0.00  1.11  0.02	10027	 9952  1.00  0.40 
   27   0.21   0.00  1.12  0.03	 9960	10019  1.00  0.40 
   28   0.19   0.00  1.14  0.03	 9978	10055  1.00  0.40 
   29   0.22   0.00  1.14  0.04	10004	10019  1.00  0.40 
   30   0.21   0.00  1.16  0.04	10080	10087  1.00  0.40 
   31   0.24   0.01  1.16  0.05	 9930	10092  1.00  0.40 
   32   0.22   0.01  1.18  0.05	10001	10036  1.00  0.40 
   33   0.22   0.01  1.18  0.06	 9967	 9958  1.00  0.40 
   34   0.21   0.01  1.19  0.07	 9944	 9938  1.00  0.40 
   35   0.23   0.01  1.20  0.08	 9872	 9955  1.00  0.40 
   36   0.22   0.03  1.21  0.09	10035	 9998  1.00  0.40 
   37   0.18   0.04  1.21  0.11	 9868	10083  1.00  0.40 
   38   0.18   0.04  1.23  0.12	10039	 9894  1.00  0.40 
   39   0.17   0.05  1.25  0.15	10012	 9987  1.00  0.40 
   40   0.18   0.06  1.25  0.17	 9978	10037  1.00  0.40 
   41   0.14   0.08  1.26  0.20	 9917	 9965  1.00  0.40 
   42   0.10   0.10  1.26  0.23	10093	10019  1.00  0.40 
   43   0.10   0.12  1.26  0.26	10012	 9935  1.00  0.40 
   44   0.07   0.14  1.27  0.29	10040	10019  1.00  0.40 
   45   0.03   0.17  1.28  0.33	10015	10044  1.00  0.40 
   46  -0.02   0.20  1.28  0.37	10070	 9922  1.00  0.40 
   47  -0.04   0.23  1.29  0.41	 9984	 9926  1.00  0.40 
   48  -0.07   0.26  1.31  0.47	10016	 9975  1.00  0.40 
   49  -0.13   0.28  1.32  0.52	 9972	10020  1.00  0.40 
   50  -0.16   0.29  1.34  0.56	10017	10107  1.00  0.40 
   51  -0.20   0.28  1.35  0.61	10161	 9943  1.00  0.40 
   52  -0.27   0.27  1.36  0.66	10074	10048  1.00  0.40 
   53  -0.31   0.23  1.37  0.69	10007	 9916  1.00  0.40 
   54  -0.30   0.20  1.38  0.74	10006	 9965  1.00  0.40 
   55  -0.33   0.19  1.39  0.79	10057	10017  1.00  0.40 
   56  -0.37   0.15  1.41  0.83	10066	 9945  1.00  0.40 
   57  -0.44   0.09  1.43  0.87	 9980	 9989  1.00  0.40 
   58  -0.42   0.04  1.44  0.90	 9965	10087  1.00  0.40 
   59  -0.39  -0.06  1.46  0.93	 9832	10009  1.00  0.40 
   60  -0.33  -0.15  1.47  0.97	10051	10082  1.00  0.40 
   61  -0.33  -0.29  1.48  0.99	10055	 9956  1.00  0.40 
   62  -0.30  -0.40  1.50  1.01	10038	10021  1.00  0.40 
   63  -0.27  -0.53  1.51  1.03	 9996	 9896  1.00  0.40 
   64  -0.20  -0.63  1.53  1.05	10016	10005  1.00  0.40 
   65  -0.12  -0.71  1.56  1.06	10070	10062  1.00  0.40 
   66  -0.02  -0.78  1.58  1.08	10025	 9875  1.00  0.40 
   67   0.07  -0.85  1.60  1.09	 9987	10036  1.00  0.40 
   68   0.21  -0.91  1.62  1.11	10002	10125  1.00  0.40 
   69   0.30  -0.94  1.63  1.12	 9918	 9875  1.00  0.40 
   70   0.46  -0.99  1.65  1.13	 9942	10153  1.00  0.40 
   71   0.54  -1.02  1.67  1.14	 9980	 9975  1.00  0.40 
   72   0.64  -1.01  1.68  1.15	 9960	 9998  1.00  0.40 
   73   0.81  -1.03  1.71  1.17	10006	 9969  1.00  0.40 
   74   0.96  -0.94  1.72  1.19	10007	10050  1.00  0.40 
   75   1.10  -0.88  1.73  1.19	 9997	 9966  1.00  0.40 
   76   1.25  -0.82  1.75  1.20	 9907	10061  1.00  0.40 
   77   1.38  -0.74  1.76  1.22	10000	10106  1.00  0.40 
   78   1.48  -0.61  1.78  1.23	 9836	10089  1.00  0.40 
   79   1.55  -0.44  1.81  1.25	 9943	 9904  1.00  0.40 
   80   1.63  -0.26  1.83  1.27	 9970	10045  1.00  0.40 
   81   1.63  -0.08  1.86  1.30	10051	 9916  1.00  0.40 
   82   1.62   0.13  1.88  1.33	10059	10056  1.00  0.40 
   83   1.64   0.29  1.90  1.35	 9981	10053  1.00  0.40 
   84   1.66   0.53  1.93  1.37	 9897	10122  1.00  0.40 
   85   1.65   0.73  1.94  1.39	 9998	 9932  1.00  0.40 
   86   1.59   0.92  1.97  1.41	10057	 9969  1.00  0.40 
   87   1.56   1.14  2.00  1.43	 9982	10098  1.00  0.40 
   88   1.47   1.33  2.02  1.45	10004	10115  1.00  0.40 
   89   1.36   1.53  2.04  1.47	 9986	10026  1.00  0.40 
   90   1.24   1.68  2.07  1.48	10065	 9928  1.00  0.40 
   91   1.08   1.83  2.12  1.49	10021	10076  1.00  0.40 
   92   0.89   1.98  2.14  1.50	10004	10072  1.00  0.40 
   93   0.70   2.13  2.16  1.50	 9928	10114  1.00  0.40 
   94   0.49   2.23  2.18  1.51	 9850	 9948  1.00  0.40 
   95   0.28   2.31  2.21  1.51	 9985	10039  1.00  0.40 
   96   0.12   2.35  2.23  1.52	10062	10001  1.00  0.40 
   97  -0.02   2.41  2.26  1.53	10006	 9972  1.00  0.40 
   98  -0.24   2.42  2.29  1.54	10024	 9999  1.00  0.40 
   99  -0.42   2.43  2.32  1.55	10003	10050  1.00  0.40 
  100  -0.60   2.41  2.35  1.55	 9956	 9947  1.00  0.40 
