initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00 1000    9  1.00  0.40 
    2  -0.00   0.00  0.01  0.00 1022   10  1.00  0.40 
    3  -0.00   0.00  0.01  0.00 1037    8  1.00  0.40 
    4   0.00   0.00  0.01  0.00  991   13  1.00  0.40 
    5   0.00   0.00  0.02  0.00  935    5  1.00  0.40 
    6   0.00   0.00  0.02  0.00 1003   10  1.00  0.40 
    7  -0.00   0.00  0.02  0.00 1038   12  1.00  0.40 
    8  -0.00   0.00  0.03  0.00 1018   10  1.00  0.40 
    9   0.00   0.00  0.03  0.00 1017    8  1.00  0.40 
   10   0.00   0.00  0.04  0.00 1015   11  1.00  0.40 
   11   0.01   0.00  0.04  0.00 1004    9  1.00  0.40 
   12   0.01   0.00  0.04  0.00  957   10  1.00  0.40 
   13   0.02   0.00  0.04  0.00 1037   10  1.00  0.40 
   14   0.03   0.00  0.06  0.00 1031   10  1.00  0.40 
   15   0.04   0.00  0.08  0.00 1004    9  1.00  0.40 
   16   0.05   0.00  0.09  0.00 1016    8  1.00  0.40 
   17   0.03   0.00  0.08  0.00 1038   10  1.00  0.40 
   18   0.04   0.00  0.09  0.00 1027    5  1.00  0.40 
   19   0.05   0.00  0.09  0.00 1031   10  1.00  0.40 
   20   0.04   0.00  0.10  0.00  976   11  1.00  0.40 
   21   0.04   0.00  0.10  0.00 1022    9  1.00  0.40 
   22   0.05   0.00  0.09  0.00 1024   12  1.00  0.40 
   23   0.04   0.00  0.09  0.00  976   10  1.00  0.40 
   24   0.04   0.00  0.08  0.00  991   11  1.00  0.40 
   25   0.05   0.00  0.09  0.00 1024   10  1.00  0.40 
   26   0.06   0.00  0.09  0.00 1002   10  1.00  0.40 
   27   0.07   0.00  0.12  0.00  997   13  1.00  0.40 
   28   0.08   0.00  0.15  0.00  966   11  1.00  0.40 
   29   0.08   0.00  0.15  0.00 1050   14  1.00  0.40 
   30   0.07   0.00  0.15  0.00  997   11  1.00  0.40 
   31   0.09   0.00  0.16  0.00  963    9  1.00  0.40 
   32   0.09   0.00  0.17  0.00 1004   10  1.00  0.40 
   33   0.08   0.00  0.17  0.00 1010   10  1.00  0.40 
   34   0.08   0.00  0.18  0.00 1007    8  1.00  0.40 
   35   0.10   0.00  0.20  0.00 1028    9  1.00  0.40 
   36   0.11   0.00  0.21  0.00  999    9  1.00  0.40 
   37   0.11   0.00  0.21  0.00 1029    9  1.00  0.40 
   38   0.12   0.00  0.22  0.00  956   15  1.00  0.40 
   39   0.11   0.00  0.24  0.00 1011   12  1.00  0.40 
   40   0.12   0.00  0.24  0.00 1022   17  1.00  0.40 
   41   0.13   0.00  0.25  0.00 1038   12  1.00  0.40 
   42   0.12   0.00  0.25  0.00 1022   12  1.00  0.40 
   43   0.13   0.00  0.25  0.00 1000   12  1.00  0.40 
   44   0.11   0.00  0.25  0.00  950    7  1.00  0.40 
   45   0.12   0.00  0.26  0.00 1016   12  1.00  0.40 
   46   0.15   0.00  0.28  0.00 1007   12  1.00  0.40 
   47   0.14   0.00  0.27  0.00 1010   12  1.00  0.40 
   48   0.15   0.00  0.28  0.00 1002    6  1.00  0.40 
   49   0.15   0.00  0.29  0.00  980   12  1.00  0.40 
