gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00  106   13  1.00  0.40 
    2   0.01   0.00  0.01  0.00  113    8  1.00  0.40 
    3  -0.01   0.00  0.01  0.00   93    5  1.00  0.40 
    4  -0.02   0.00  0.02  0.00  100    9  1.00  0.40 
    5  -0.02   0.00  0.04  0.00   95   11  1.00  0.40 
    6  -0.03   0.00  0.05  0.00  113    8  1.00  0.40 
    7  -0.05   0.00  0.06  0.00   82    8  1.00  0.40 
    8  -0.08   0.00  0.07  0.00  104   12  1.00  0.40 
    9  -0.10   0.00  0.09  0.00   89    5  1.00  0.40 
   10  -0.09   0.00  0.09  0.00   98   10  1.00  0.40 
   11  -0.11   0.00  0.11  0.00  107    6  1.00  0.40 
   12  -0.09   0.00  0.09  0.00   90   10  1.00  0.40 
   13  -0.13   0.00  0.13  0.00   98   13  1.00  0.40 
   14  -0.11   0.00  0.11  0.00   95   10  1.00  0.40 
   15  -0.10   0.00  0.11  0.00  106   10  1.00  0.40 
   16  -0.07   0.00  0.08  0.00  101   10  1.00  0.40 
   17  -0.08   0.00  0.09  0.00  101    9  1.00  0.40 
   18  -0.10   0.00  0.10  0.00  103   10  1.00  0.40 
   19  -0.08   0.00  0.06  0.00  103    8  1.00  0.40 
   20  -0.03   0.00  0.02  0.00   91    8  1.00  0.40 
   21  -0.00   0.00  0.02  0.00   94   11  1.00  0.40 
   22   0.00   0.00  0.03  0.00  100   14  1.00  0.40 
   23   0.00   0.00  0.05  0.00  118   11  1.00  0.40 
   24  -0.02   0.00  0.03  0.00  105    7  1.00  0.40 
   25   0.01   0.00  0.01  0.00  100   10  1.00  0.40 
   26   0.01   0.00  0.03  0.00   99   12  1.00  0.40 
   27  -0.02   0.00  0.05  0.00  106   12  1.00  0.40 
   28  -0.04   0.00  0.07  0.00  105    8  1.00  0.40 
   29  -0.06   0.00  0.09  0.00   98    8  1.00  0.40 
   30  -0.02   0.00  0.10  0.00  100   12  1.00  0.40 
   31  -0.01   0.00  0.09  0.00   93    7  1.00  0.40 
   32   0.01   0.00  0.11  0.00   96   12  1.00  0.40 
