gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00 1000  111  1.00  0.40 
    2   0.00   0.00  0.01  0.00  992   97  1.00  0.40 
    3   0.00   0.00  0.02  0.00  956   93  1.00  0.40 
    4   0.00   0.00  0.03  0.00  973  110  1.00  0.40 
    5   0.00   0.00  0.04  0.00  971  102  1.00  0.40 
    6   0.00   0.00  0.05  0.00 1010   96  1.00  0.40 
    7  -0.00   0.00  0.05  0.00 1000   98  1.00  0.40 
    8   0.00   0.00  0.05  0.00  994  113  1.00  0.40 
    9  -0.00  -0.01  0.06  0.01  979  106  1.00  0.40 
   10  -0.03  -0.00  0.08  0.01 1011   96  1.00  0.40 
   11  -0.03  -0.00  0.08  0.01 1012  101  1.00  0.40 
   12  -0.01  -0.00  0.08  0.02  998   99  1.00  0.40 
   13  -0.02   0.00  0.09  0.00  999   86  1.00  0.40 
   14  -0.02   0.00  0.08  0.00 1041   95  1.00  0.40 
   15  -0.03   0.00  0.09  0.00 1024   96  1.00  0.40 
   16  -0.04   0.00  0.11  0.00 1009   91  1.00  0.40 
   17  -0.04   0.00  0.11  0.00 1015  103  1.00  0.40 
   18  -0.03   0.00  0.11  0.00  991   93  1.00  0.40 
   19  -0.02   0.00  0.12  0.00  986   98  1.00  0.40 
   20  -0.01   0.00  0.11  0.00  995  100  1.00  0.40 
   21  -0.00   0.00  0.12  0.00 1025   98  1.00  0.40 
   22  -0.00   0.00  0.14  0.00  941  112  1.00  0.40 
   23   0.00   0.00  0.15  0.00  984  100  1.00  0.40 
   24   0.02   0.00  0.16  0.00  998   94  1.00  0.40 
   25   0.02   0.00  0.17  0.00  975  102  1.00  0.40 
   26   0.03   0.00  0.18  0.00  968   96  1.00  0.40 
   27   0.00   0.00  0.20  0.00  993   99  1.00  0.40 
   28   0.00   0.00  0.21  0.00 1060   99  1.00  0.40 
   29   0.01   0.00  0.23  0.00 1004  103  1.00  0.40 
   30   0.01   0.00  0.25  0.01 1013  100  1.00  0.40 
   31  -0.03   0.01  0.27  0.02  946  104  1.00  0.40 
   32  -0.04   0.01  0.24  0.02  981   88  1.00  0.40 
   33  -0.04   0.02  0.25  0.04 1007   95  1.00  0.40 
   34  -0.06   0.02  0.26  0.07 1008  102  1.00  0.40 
   35  -0.11   0.03  0.25  0.08  982   99  1.00  0.40 
   36  -0.12   0.03  0.26  0.09  967   99  1.00  0.40 
   37  -0.14   0.02  0.29  0.04 1046   94  1.00  0.40 
   38  -0.15   0.01  0.31  0.03 1009  110  1.00  0.40 
   39  -0.15   0.00  0.33  0.01  986  100  1.00  0.40 
   40  -0.15   0.01  0.33  0.02  989  104  1.00  0.40 
   41  -0.16   0.01  0.35  0.03 1021  103  1.00  0.40 
   42  -0.20   0.01  0.35  0.02  962   99  1.00  0.40 
   43  -0.20   0.01  0.38  0.03  990  102  1.00  0.40 
   44  -0.22   0.02  0.40  0.05 1029   95  1.00  0.40 
   45  -0.23   0.02  0.40  0.04 1005   95  1.00  0.40 
   46  -0.21   0.01  0.41  0.04 1040   98  1.00  0.40 
   47  -0.24   0.01  0.43  0.04  969  100  1.00  0.40 
   48  -0.28   0.01  0.48  0.04  995  104  1.00  0.40 
   49  -0.25   0.01  0.48  0.03 1029   98  1.00  0.40 
   50  -0.24   0.02  0.49  0.04 1004   92  1.00  0.40 
   51  -0.27   0.02  0.53  0.06  971   98  1.00  0.40 
   52  -0.30   0.02  0.56  0.05 1013   94  1.00  0.40 
   53  -0.30   0.03  0.56  0.08  991  121  1.00  0.40 
   54  -0.32   0.03  0.60  0.07 1033  100  1.00  0.40 
   55  -0.36   0.03  0.63  0.09 1031   95  1.00  0.40 
   56  -0.36   0.02  0.64  0.06  987   98  1.00  0.40 
   57  -0.39   0.02  0.68  0.05  969  101  1.00  0.40 
   58  -0.41   0.01  0.72  0.03  974  103  1.00  0.40 
   59  -0.43   0.02  0.74  0.05  975   95  1.00  0.40 
   60  -0.41   0.01  0.76  0.03 1019   99  1.00  0.40 
   61  -0.42   0.01  0.78  0.03 1038   98  1.00  0.40 
   62  -0.43   0.00  0.80  0.01  947  100  1.00  0.40 
   63  -0.43   0.00  0.81  0.00 1019   96  1.00  0.40 
   64  -0.43   0.00  0.83  0.00 1043  105  1.00  0.40 
   65  -0.44   0.00  0.89  0.00  988  102  1.00  0.40 
   66  -0.44   0.00  0.89  0.00 1039   99  1.00  0.40 
   67  -0.48   0.00  0.92  0.00 1023  114  1.00  0.40 
   68  -0.46   0.00  0.94  0.00 1000  102  1.00  0.40 
   69  -0.46   0.00  0.96  0.00 1004   97  1.00  0.40 
   70  -0.48   0.00  1.00  0.00 1006  105  1.00  0.40 
   71  -0.51   0.00  1.03  0.00  996  104  1.00  0.40 
   72  -0.52   0.00  1.03  0.00  980   99  1.00  0.40 
   73  -0.53   0.00  1.04  0.00 1014   99  1.00  0.40 
   74  -0.52   0.00  1.06  0.00  995  105  1.00  0.40 
   75  -0.49   0.00  1.04  0.00 1037   89  1.00  0.40 
   76  -0.50   0.00  1.06  0.00  990   95  1.00  0.40 
   77  -0.52   0.00  1.09  0.00 1043   91  1.00  0.40 
   78  -0.53   0.00  1.09  0.00  996   80  1.00  0.40 
   79  -0.49   0.00  1.12  0.00 1015  107  1.00  0.40 
   80  -0.45   0.00  1.11  0.00  992   96  1.00  0.40 
   81  -0.39   0.00  1.10  0.00 1014  108  1.00  0.40 
   82  -0.43   0.00  1.12  0.00  967  105  1.00  0.40 
   83  -0.42   0.00  1.11  0.00  993  103  1.00  0.40 
   84  -0.50   0.00  1.16  0.00  973  109  1.00  0.40 
   85  -0.55   0.00  1.17  0.00 1031  105  1.00  0.40 
   86  -0.55   0.00  1.16  0.00  962   95  1.00  0.40 
   87  -0.59   0.00  1.17  0.00 1002   98  1.00  0.40 
   88  -0.62   0.00  1.18  0.00  989  105  1.00  0.40 
   89  -0.59   0.00  1.21  0.00  993  104  1.00  0.40 
   90  -0.61   0.00  1.22  0.00  995   95  1.00  0.40 
   91  -0.66   0.00  1.24  0.00 1036  103  1.00  0.40 
   92  -0.69   0.00  1.24  0.00 1012  106  1.00  0.40 
   93  -0.74   0.00  1.27  0.00 1010  100  1.00  0.40 
   94  -0.77   0.00  1.27  0.00  999  106  1.00  0.40 
   95  -0.79  -0.02  1.31  0.01  991  107  1.00  0.40 
   96  -0.79   0.00  1.31  0.00 1001   96  1.00  0.40 
   97  -0.80   0.00  1.28  0.00  998  111  1.00  0.40 
   98  -0.74   0.00  1.30  0.00  965   95  1.00  0.40 
   99  -0.75   0.00  1.28  0.00 1030   95  1.00  0.40 
  100  -0.75   0.00  1.26  0.00  984   99  1.00  0.40 
  101  -0.72   0.00  1.27  0.00 1027   99  1.00  0.40 
  102  -0.71   0.00  1.27  0.00  955   93  1.00  0.40 
  103  -0.75   0.00  1.29  0.00  985  101  1.00  0.40 
  104  -0.68   0.00  1.28  0.00  990  105  1.00  0.40 
  105  -0.69   0.00  1.30  0.00 1007  103  1.00  0.40 
  106  -0.71  -0.01  1.29  0.01  995   95  1.00  0.40 
  107  -0.74  -0.01  1.30  0.01 1020  101  1.00  0.40 
  108  -0.76  -0.01  1.30  0.01  991  106  1.00  0.40 
  109  -0.80  -0.03  1.33  0.02  987  106  1.00  0.40 
  110  -0.81  -0.03  1.34  0.02  966  108  1.00  0.40 
  111  -0.84  -0.04  1.35  0.04 1032   92  1.00  0.40 
  112  -0.86  -0.04  1.35  0.06  973  105  1.00  0.40 
  113  -0.91  -0.05  1.36  0.06 1019  101  1.00  0.40 
  114  -0.89  -0.05  1.36  0.05 1023  108  1.00  0.40 
  115  -0.94  -0.11  1.37  0.09  979   90  1.00  0.40 
  116  -0.98  -0.14  1.38  0.12 1026   95  1.00  0.40 
  117  -1.07  -0.21  1.42  0.16  968  113  1.00  0.40 
  118  -1.08  -0.21  1.43  0.15  951  105  1.00  0.40 
  119  -1.10  -0.25  1.44  0.17 1032   99  1.00  0.40 
  120  -1.08  -0.33  1.46  0.22 1001  102  1.00  0.40 
  121  -1.10  -0.37  1.45  0.24  957  102  1.00  0.40 
  122  -1.11  -0.36  1.47  0.23 1001  102  1.00  0.40 
  123  -1.15  -0.35  1.50  0.22  975  106  1.00  0.40 
  124  -1.14  -0.50  1.53  0.30  999   99  1.00  0.40 
  125  -1.14  -0.56  1.50  0.33 1002   85  1.00  0.40 
  126  -1.16  -0.55  1.52  0.32  976  110  1.00  0.40 
  127  -1.20  -0.62  1.52  0.35  998  112  1.00  0.40 
  128  -1.18  -0.63  1.53  0.36 1029  106  1.00  0.40 
  129  -1.16  -0.79  1.50  0.41 1036  114  1.00  0.40 
  130  -1.15  -0.79  1.47  0.41  978   92  1.00  0.40 
  131  -1.21  -0.82  1.46  0.42 1028   93  1.00  0.40 
  132  -1.22  -0.91  1.46  0.44  970   98  1.00  0.40 
  133  -1.21  -1.00  1.45  0.47 1027  111  1.00  0.40 
  134  -1.20  -1.10  1.44  0.49  995  101  1.00  0.40 
  135  -1.16  -1.27  1.44  0.50 1019  105  1.00  0.40 
  136  -1.15  -1.33  1.45  0.50  974  102  1.00  0.40 
  137  -1.13  -1.28  1.46  0.50  992  100  1.00  0.40 
  138  -1.08  -1.28  1.47  0.50 1029   99  1.00  0.40 
  139  -1.08  -1.25  1.50  0.50 1000   97  1.00  0.40 
  140  -1.09  -1.21  1.52  0.49 1038   96  1.00  0.40 
  141  -1.05  -1.29  1.52  0.50 1007  102  1.00  0.40 
  142  -1.05  -1.31  1.54  0.50  999  101  1.00  0.40 
  143  -0.95  -1.34  1.54  0.50  998   98  1.00  0.40 
