gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00   94  109  1.00  0.40 
    2   0.00   0.00  0.00  0.00   91  110  1.00  0.40 
    3  -0.00   0.00  0.01  0.00   95   97  1.00  0.40 
    4  -0.00   0.00  0.01  0.00  114   91  1.00  0.40 
    5  -0.02   0.00  0.02  0.00   90   99  1.00  0.40 
    6  -0.04   0.00  0.06  0.00  107   97  1.00  0.40 
    7  -0.06   0.00  0.09  0.00  102  101  1.00  0.40 
    8  -0.05   0.00  0.08  0.00   90   98  1.00  0.40 
    9  -0.08   0.00  0.10  0.00   95   97  1.00  0.40 
   10  -0.10   0.00  0.14  0.00   98  116  1.00  0.40 
   11  -0.14   0.00  0.20  0.00  104  104  1.00  0.40 
   12  -0.19   0.00  0.28  0.00  106  101  1.00  0.40 
   13  -0.23   0.00  0.28  0.01  103  104  1.00  0.40 
   14  -0.27   0.00  0.33  0.01  106   83  1.00  0.40 
   15  -0.31   0.00  0.36  0.02   93  101  1.00  0.40 
   16  -0.44  -0.00  0.47  0.03   97  100  1.00  0.40 
   17  -0.39   0.00  0.46  0.02   85   90  1.00  0.40 
   18  -0.48   0.00  0.52  0.04   90  103  1.00  0.40 
   19  -0.56   0.00  0.53  0.03  102  116  1.00  0.40 
   20  -0.57   0.00  0.52  0.01  100   86  1.00  0.40 
   21  -0.58   0.00  0.55  0.01  126  111  1.00  0.40 
   22  -0.57   0.00  0.55  0.01  107   97  1.00  0.40 
   23  -0.64   0.00  0.54  0.01  104   95  1.00  0.40 
   24  -0.68  -0.01  0.56  0.02  101  106  1.00  0.40 
   25  -0.73  -0.02  0.56  0.02  114   97  1.00  0.40 
   26  -0.77  -0.04  0.58  0.05   98  103  1.00  0.40 
   27  -0.86  -0.06  0.60  0.06  102  108  1.00  0.40 
   28  -0.88  -0.05  0.68  0.07   92   87  1.00  0.40 
   29  -0.89  -0.03  0.71  0.05   84  108  1.00  0.40 
   30  -0.92  -0.03  0.75  0.06   98  106  1.00  0.40 
   31  -0.93  -0.01  0.77  0.08  110  106  1.00  0.40 
   32  -1.10  -0.03  0.93  0.12   98   88  1.00  0.40 
   33  -1.07  -0.01  0.88  0.10  100   97  1.00  0.40 
   34  -1.10  -0.03  0.94  0.11  113   94  1.00  0.40 
   35  -1.17  -0.03  1.04  0.11  111   94  1.00  0.40 
   36  -1.28  -0.03  1.14  0.11  112  103  1.00  0.40 
   37  -1.36  -0.03  1.20  0.13  102  100  1.00  0.40 
   38  -1.42  -0.07  1.26  0.16   97  102  1.00  0.40 
   39  -1.45  -0.15  1.32  0.20  102   98  1.00  0.40 
   40  -1.47  -0.19  1.31  0.19   90  102  1.00  0.40 
   41  -1.53  -0.30  1.34  0.23   98  103  1.00  0.40 
   42  -1.57  -0.28  1.39  0.22  103   87  1.00  0.40 
   43  -1.61  -0.31  1.45  0.25  102  112  1.00  0.40 
   44  -1.59  -0.42  1.44  0.29   99   87  1.00  0.40 
   45  -1.62  -0.56  1.49  0.37  105   94  1.00  0.40 
   46  -1.60  -0.69  1.47  0.41  123  103  1.00  0.40 
   47  -1.58  -0.76  1.49  0.47  102   97  1.00  0.40 
   48  -1.60  -0.87  1.43  0.51  108  102  1.00  0.40 
   49  -1.62  -0.85  1.47  0.52   87  102  1.00  0.40 
   50  -1.70  -1.11  1.48  0.57   98   93  1.00  0.40 
   51  -1.76  -1.13  1.43  0.56   98  101  1.00  0.40 
   52  -1.77  -1.15  1.46  0.57  104  103  1.00  0.40 
   53  -1.72  -1.13  1.41  0.60   99   98  1.00  0.40 
   54  -1.76  -1.17  1.46  0.59  101   99  1.00  0.40 
   55  -1.78  -1.39  1.42  0.64  107   94  1.00  0.40 
   56  -1.76  -1.31  1.47  0.66   99   99  1.00  0.40 
   57  -1.79  -1.42  1.51  0.70   91   94  1.00  0.40 
   58  -1.77  -1.52  1.49  0.68  101   92  1.00  0.40 
   59  -1.77  -1.48  1.53  0.68  109  109  1.00  0.40 
   60  -1.78  -1.65  1.56  0.71   95   96  1.00  0.40 
   61  -1.81  -1.57  1.62  0.65   92  112  1.00  0.40 
   62  -1.84  -1.62  1.66  0.66   86   94  1.00  0.40 
   63  -1.85  -1.66  1.68  0.66  111   92  1.00  0.40 
   64  -1.66  -1.78  1.58  0.65   97   89  1.00  0.40 
   65  -1.56  -1.86  1.55  0.63   98   87  1.00  0.40 
   66  -1.44  -1.81  1.51  0.67   91  100  1.00  0.40 
   67  -1.36  -1.80  1.50  0.72  103  103  1.00  0.40 
   68  -1.43  -1.83  1.54  0.71  109   94  1.00  0.40 
   69  -1.33  -1.71  1.44  0.76   84   96  1.00  0.40 
   70  -1.27  -1.66  1.37  0.78  106  101  1.00  0.40 
