gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00	   90	 1000  1.00  0.40 
    2  -0.02   0.00  0.02  0.00	   99	  970  1.00  0.40 
    3  -0.04   0.00  0.10  0.00	   93	 1013  1.00  0.40 
    4  -0.16   0.00  0.35  0.00	   78	  965  1.00  0.40 
    5  -0.50   0.00  0.79  0.00	   83	 1016  1.00  0.40 
    6  -1.10   0.00  1.02  0.00	   96	  977  1.00  0.40 
    7  -1.32   0.00  0.98  0.00	   93	  978  1.00  0.40 
    8  -1.71   0.00  0.63  0.00	  112	  989  1.00  0.40 
    9  -1.77   0.00  0.56  0.00	   97	 1011  1.00  0.40 
   10  -1.80  -0.00  0.45  0.00	   97	  985  1.00  0.40 
   11  -1.89   0.00  0.34  0.00	   94	 1006  1.00  0.40 
   12  -2.00   0.00  0.30  0.00	  102	 1015  1.00  0.40 
   13  -2.12   0.00  0.21  0.00	  102	 1055  1.00  0.40 
   14  -2.09  -0.00  0.23  0.00	  109	  963  1.00  0.40 
   15  -2.08  -0.00  0.17  0.01	  101	 1013  1.00  0.40 
   16  -2.19  -0.00  0.13  0.01	   87	  996  1.00  0.40 
   17  -2.20  -0.00  0.15  0.01	   98	  999  1.00  0.40 
   18  -2.20  -0.00  0.20  0.01	  102	 1000  1.00  0.40 
   19  -2.22  -0.01  0.26  0.01	  103	  962  1.00  0.40 
   20  -2.24  -0.01  0.31  0.01	   95	 1013  1.00  0.40 
   21  -2.25  -0.02  0.36  0.02	  100	 1045  1.00  0.40 
   22  -2.27  -0.03  0.32  0.03	   93	 1024  1.00  0.40 
   23  -2.25  -0.05  0.29  0.05	   97	  989  1.00  0.40 
   24  -2.25  -0.07  0.32  0.08	  105	 1006  1.00  0.40 
   25  -2.27  -0.11  0.34  0.10	  101	 1008  1.00  0.40 
   26  -2.27  -0.16  0.24  0.13	  119	  987  1.00  0.40 
   27  -2.23  -0.22  0.19  0.17	   89	  969  1.00  0.40 
   28  -2.26  -0.34  0.26  0.25	  103	 1007  1.00  0.40 
