// Initial random seed:
1599113838863

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00	 1000	 1000  1.00  0.40 
    2  -0.00  -0.00  0.01  0.00	 3000	 2000  1.00  0.40 
    3  -0.00  -0.00  0.01  0.00	 9000	 4000  1.00  0.40 
    4  -0.00  -0.00  0.02  0.00	 9992	 7993  1.00  0.40 
    5  -0.00  -0.00  0.03  0.00	 9899	 9965  1.00  0.40 
    6   0.00   0.00  0.05  0.00	 9976	10082  1.00  0.40 
    7   0.00   0.00  0.06  0.00	10076	10022  1.00  0.40 
    8   0.01   0.00  0.08  0.00	10060	10048  1.00  0.40 
    9   0.01  -0.00  0.11  0.00	 9962	10003  1.00  0.40 
   10   0.02   0.00  0.15  0.01	10056	 9904  1.00  0.40 
   11   0.04   0.00  0.20  0.01	10034	 9938  1.00  0.40 
   12   0.06   0.00  0.26  0.01	 9974	10008  1.00  0.40 
   13   0.08  -0.00  0.34  0.00	10024	 9929  1.00  0.40 
   14   0.13  -0.00  0.43  0.00	 9883	 9987  1.00  0.40 
   15   0.17  -0.00  0.54  0.00	10011	 9980  1.00  0.40 
   16   0.22   0.00  0.65  0.01	 9860	10109  1.00  0.40 
   17   0.27  -0.00  0.75  0.01	10000	 9992  1.00  0.40 
   18   0.33  -0.00  0.84  0.01	 9999	10022  1.00  0.40 
   19   0.38  -0.00  0.92  0.01	 9984	10094  1.00  0.40 
   20   0.45  -0.00  0.97  0.01	 9939	 9960  1.00  0.40 
   21   0.49  -0.00  1.01  0.01	 9993	10018  1.00  0.40 
   22   0.50  -0.00  1.05  0.01	 9954	10072  1.00  0.40 
   23   0.51  -0.00  1.08  0.01	 9969	10121  1.00  0.40 
   24   0.52  -0.00  1.09  0.01	 9952	 9912  1.00  0.40 
   25   0.53  -0.00  1.11  0.01	 9891	10173  1.00  0.40 
   26   0.54  -0.00  1.12  0.02	 9959	 9983  1.00  0.40 
   27   0.55   0.00  1.13  0.02	10098	 9937  1.00  0.40 
   28   0.56   0.00  1.14  0.02	 9971	10048  1.00  0.40 
   29   0.57   0.01  1.15  0.02	 9934	 9940  1.00  0.40 
   30   0.59   0.01  1.15  0.03	10011	10008  1.00  0.40 
   31   0.56   0.02  1.17  0.04	10114	10062  1.00  0.40 
   32   0.55   0.02  1.17  0.04	 9938	 9987  1.00  0.40 
   33   0.58   0.04  1.18  0.05	10008	10026  1.00  0.40 
   34   0.58   0.04  1.19  0.06	10028	 9964  1.00  0.40 
   35   0.56   0.06  1.21  0.08	10111	 9996  1.00  0.40 
   36   0.57   0.09  1.21  0.09	10010	10092  1.00  0.40 
   37   0.56   0.12  1.23  0.12	 9867	 9984  1.00  0.40 
   38   0.53   0.16  1.23  0.15	 9999	 9964  1.00  0.40 
   39   0.50   0.21  1.24  0.18	10019	10023  1.00  0.40 
   40   0.46   0.27  1.25  0.22	 9917	 9954  1.00  0.40 
   41   0.36   0.35  1.26  0.27	 9941	 9992  1.00  0.40 
   42   0.30   0.43  1.28  0.32	10057	10015  1.00  0.40 
   43   0.23   0.51  1.29  0.37	10044	10037  1.00  0.40 
   44   0.15   0.61  1.31  0.43	 9942	10018  1.00  0.40 
   45   0.06   0.72  1.34  0.49	 9918	 9923  1.00  0.40 
   46  -0.03   0.82  1.35  0.55	10027	 9949  1.00  0.40 
   47  -0.18   0.91  1.37  0.60	 9896	10006  1.00  0.40 
   48  -0.32   0.98  1.39  0.64	 9893	10003  1.00  0.40 
   49  -0.48   1.05  1.41  0.68	 9940	10005  1.00  0.40 
   50  -0.66   1.09  1.43  0.72	 9986	 9982  1.00  0.40 
   51  -0.80   1.16  1.45  0.75	 9947	 9932  1.00  0.40 
   52  -0.97   1.19  1.46  0.79	 9916	 9977  1.00  0.40 
   53  -1.09   1.20  1.47  0.82	 9988	10051  1.00  0.40 
   54  -1.22   1.19  1.49  0.84	10146	 9971  1.00  0.40 
   55  -1.32   1.17  1.50  0.86	10006	10038  1.00  0.40 
   56  -1.43   1.13  1.51  0.88	10076	10016  1.00  0.40 
   57  -1.53   1.04  1.52  0.90	 9985	10022  1.00  0.40 
   58  -1.60   0.92  1.53  0.91	10028	 9946  1.00  0.40 
   59  -1.65   0.78  1.54  0.94	10011	10024  1.00  0.40 
   60  -1.71   0.58  1.56  0.95	 9973	 9828  1.00  0.40 
   61  -1.77   0.38  1.59  0.97	10059	10100  1.00  0.40 
   62  -1.79   0.13  1.59  0.98	10036	 9926  1.00  0.40 
   63  -1.78  -0.13  1.61  1.01	10062	 9945  1.00  0.40 
   64  -1.76  -0.37  1.63  1.03	10050	 9963  1.00  0.40 
   65  -1.75  -0.62  1.65  1.06	10021	 9897  1.00  0.40 
   66  -1.69  -0.90  1.68  1.08	 9948	10107  1.00  0.40 
   67  -1.59  -1.16  1.71  1.10	 9876	10091  1.00  0.40 
   68  -1.54  -1.36  1.75  1.13	10108	 9918  1.00  0.40 
   69  -1.41  -1.59  1.79  1.15	10079	10037  1.00  0.40 
   70  -1.22  -1.77  1.83  1.17	 9926	10014  1.00  0.40 
   71  -1.00  -1.95  1.85  1.20	 9951	10048  1.00  0.40 
   72  -0.76  -2.10  1.88  1.22	10112	 9998  1.00  0.40 
   73  -0.51  -2.22  1.91  1.24	 9913	 9986  1.00  0.40 
   74  -0.19  -2.32  1.93  1.26	 9966	10080  1.00  0.40 
   75   0.14  -2.42  1.95  1.28	 9991	 9957  1.00  0.40 
   76   0.49  -2.49  1.95  1.30	10168	 9982  1.00  0.40 
   77   0.83  -2.57  1.97  1.31	 9868	 9875  1.00  0.40 
   78   1.20  -2.64  1.98  1.33	 9956	 9961  1.00  0.40 
   79   1.52  -2.68  1.98  1.35	10086	10087  1.00  0.40 
   80   1.80  -2.70  1.98  1.35	10005	10045  1.00  0.40 
   81   2.03  -2.72  1.99  1.35	10007	 9989  1.00  0.40 
   82   2.23  -2.75  1.99  1.36	10040	10035  1.00  0.40 
   83   2.39  -2.76  1.99  1.37	 9975	 9979  1.00  0.40 
   84   2.57  -2.77  1.97  1.37	 9945	10023  1.00  0.40 
   85   2.69  -2.77  1.97  1.37	10026	10166  1.00  0.40 
   86   2.80  -2.76  1.99  1.36	10085	10019  1.00  0.40 
   87   2.89  -2.75  1.99  1.37	 9904	10006  1.00  0.40 
   88   3.00  -2.73  1.97  1.36	 9856	 9956  1.00  0.40 
   89   3.10  -2.70  1.97  1.35	 9841	 9976  1.00  0.40 
   90   3.15  -2.68  1.97  1.36	10063	 9988  1.00  0.40 
   91   3.21  -2.65  1.98  1.35	 9925	10108  1.00  0.40 
   92   3.27  -2.60  1.98  1.35	10005	 9939  1.00  0.40 
   93   3.30  -2.58  1.99  1.36	10078	 9977  1.00  0.40 
   94   3.32  -2.56  2.00  1.36	10079	10048  1.00  0.40 
   95   3.35  -2.54  2.00  1.37	 9872	 9917  1.00  0.40 
   96   3.40  -2.51  2.00  1.37	 9934	 9896  1.00  0.40 
   97   3.42  -2.46  2.00  1.37	10020	 9943  1.00  0.40 
   98   3.42  -2.40  2.00  1.38	 9943	10063  1.00  0.40 
   99   3.44  -2.37  2.02  1.39	10050	 9991  1.00  0.40 
  100   3.46  -2.32  2.02  1.40	 9886	 9904  1.00  0.40 
#OUT: 100 F
Mutations:
