// Initial random seed:
1618752441790

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00 1000 1000  1.00  0.40 
    2   0.00   0.00  0.01  0.00  987  978  1.00  0.40 
    3   0.00  -0.00  0.02  0.00 1007  968  1.00  0.40 
    4   0.01   0.00  0.02  0.00 1020 1024  1.00  0.40 
    5   0.01   0.00  0.04  0.00 1013  992  1.00  0.40 
    6   0.02   0.00  0.05  0.00 1018  993  1.00  0.40 
    7   0.04   0.00  0.07  0.00 1011 1018  1.00  0.40 
    8   0.05   0.00  0.08  0.00  967 1013  1.00  0.40 
    9   0.09  -0.00  0.12  0.00  990  989  1.00  0.40 
   10   0.12   0.00  0.16  0.00  992 1004  1.00  0.40 
   11   0.19   0.00  0.23  0.00 1033 1007  1.00  0.40 
   12   0.27  -0.00  0.32  0.00  992 1020  1.00  0.40 
   13   0.37  -0.00  0.42  0.00  998  992  1.00  0.40 
   14   0.52   0.00  0.53  0.00 1008 1045  1.00  0.40 
   15   0.65   0.00  0.63  0.00  982 1041  1.00  0.40 
   16   0.74   0.00  0.71  0.01  974 1064  1.00  0.40 
   17   0.83   0.00  0.78  0.01 1011 1027  1.00  0.40 
   18   0.96  -0.00  0.86  0.01  995 1008  1.00  0.40 
   19   1.04  -0.00  0.88  0.01  978 1012  1.00  0.40 
   20   1.15   0.00  0.92  0.01 1028  973  1.00  0.40 
   21   1.19   0.00  0.93  0.01  986  991  1.00  0.40 
   22   1.26   0.00  0.94  0.01  990 1016  1.00  0.40 
   23   1.35   0.01  0.94  0.01 1025  990  1.00  0.40 
   24   1.40   0.01  0.93  0.01 1008 1024  1.00  0.40 
   25   1.42   0.01  0.94  0.02  992 1011  1.00  0.40 
   26   1.45   0.01  0.95  0.03 1025 1000  1.00  0.40 
   27   1.52   0.02  0.95  0.03  991  971  1.00  0.40 
   28   1.60   0.02  0.94  0.04 1020  999  1.00  0.40 
   29   1.66   0.03  0.95  0.05 1006 1014  1.00  0.40 
   30   1.67   0.04  0.97  0.06 1021 1012  1.00  0.40 
   31   1.67   0.05  0.97  0.07  985  991  1.00  0.40 
   32   1.74   0.06  0.96  0.08  967  994  1.00  0.40 
   33   1.75   0.08  0.96  0.10  983 1011  1.00  0.40 
   34   1.75   0.10  0.98  0.12  992  962  1.00  0.40 
   35   1.78   0.15  1.00  0.16 1010  990  1.00  0.40 
   36   1.77   0.17  1.01  0.18 1031 1022  1.00  0.40 
   37   1.76   0.23  1.02  0.22 1008  993  1.00  0.40 
   38   1.74   0.29  1.02  0.28 1063 1012  1.00  0.40 
   39   1.74   0.37  1.04  0.35 1002  968  1.00  0.40 
   40   1.75   0.47  1.06  0.42 1013  997  1.00  0.40 
   41   1.80   0.61  1.06  0.51 1033 1013  1.00  0.40 
   42   1.76   0.73  1.10  0.58  995 1013  1.00  0.40 
   43   1.70   0.86  1.12  0.64  994  984  1.00  0.40 
   44   1.56   1.01  1.16  0.72 1041 1028  1.00  0.40 
   45   1.41   1.13  1.20  0.77  989 1044  1.00  0.40 
   46   1.23   1.27  1.24  0.82  993  999  1.00  0.40 
   47   1.17   1.36  1.26  0.87  952 1023  1.00  0.40 
   48   0.98   1.45  1.32  0.90 1029  942  1.00  0.40 
   49   0.71   1.56  1.36  0.93 1002  972  1.00  0.40 
   50   0.44   1.67  1.42  0.94  998  999  1.00  0.40 
   51   0.08   1.76  1.48  0.95  968 1034  1.00  0.40 
   52  -0.15   1.83  1.51  0.95  984 1004  1.00  0.40 
   53  -0.51   1.85  1.54  0.95 1003  976  1.00  0.40 
   54  -0.75   1.91  1.55  0.94 1002 1007  1.00  0.40 
   55  -0.89   1.93  1.57  0.93  982 1010  1.00  0.40 
   56  -1.22   1.97  1.56  0.95 1004  999  1.00  0.40 
   57  -1.42   1.96  1.55  0.97  985 1036  1.00  0.40 
   58  -1.56   2.01  1.56  0.96  993 1014  1.00  0.40 
   59  -1.71   2.01  1.57  0.96  969  943  1.00  0.40 
   60  -1.80   1.97  1.56  1.00  989 1009  1.00  0.40 
   61  -1.83   1.97  1.58  1.00  990  975  1.00  0.40 
   62  -1.82   1.92  1.60  1.01 1003  998  1.00  0.40 
   63  -1.87   1.94  1.57  1.00 1008  992  1.00  0.40 
   64  -1.90   1.94  1.59  0.99 1058 1007  1.00  0.40 
   65  -1.92   1.92  1.57  0.98  985  992  1.00  0.40 
   66  -1.90   1.93  1.58  0.98 1010  996  1.00  0.40 
   67  -1.96   1.95  1.60  0.97  970  958  1.00  0.40 
   68  -1.93   1.93  1.61  0.95  964 1019  1.00  0.40 
   69  -1.95   1.92  1.62  0.93 1000 1004  1.00  0.40 
   70  -2.00   1.88  1.62  0.94  980  992  1.00  0.40 
   71  -2.01   1.86  1.63  0.96  998  972  1.00  0.40 
   72  -2.04   1.83  1.64  0.95  988  977  1.00  0.40 
   73  -2.04   1.78  1.67  0.95  953 1029  1.00  0.40 
   74  -2.02   1.74  1.67  0.95  970  948  1.00  0.40 
   75  -2.00   1.72  1.68  0.96  944 1037  1.00  0.40 
   76  -1.97   1.69  1.71  0.94  997 1041  1.00  0.40 
   77  -1.97   1.65  1.68  0.95  993 1003  1.00  0.40 
   78  -2.03   1.60  1.67  0.95  970 1020  1.00  0.40 
   79  -2.05   1.55  1.68  0.98  980  970  1.00  0.40 
   80  -2.06   1.56  1.69  1.00 1048  992  1.00  0.40 
   81  -2.06   1.51  1.70  1.00 1006  974  1.00  0.40 
   82  -2.06   1.44  1.70  1.00 1001  982  1.00  0.40 
   83  -2.07   1.37  1.69  1.02  986  985  1.00  0.40 
   84  -2.08   1.30  1.70  1.01 1039  974  1.00  0.40 
   85  -2.08   1.23  1.72  1.03 1027  989  1.00  0.40 
   86  -2.10   1.17  1.74  1.02  982 1010  1.00  0.40 
   87  -2.09   1.05  1.74  1.05  964 1047  1.00  0.40 
   88  -2.10   0.84  1.75  1.05 1006  979  1.00  0.40 
   89  -2.10   0.61  1.74  1.06 1007 1012  1.00  0.40 
   90  -2.10   0.40  1.74  1.06 1010 1013  1.00  0.40 
   91  -2.07   0.16  1.75  1.07 1027  969  1.00  0.40 
   92  -2.06  -0.03  1.76  1.06  998 1006  1.00  0.40 
   93  -2.08  -0.35  1.76  1.01  986  975  1.00  0.40 
   94  -2.09  -0.66  1.76  0.97  981  970  1.00  0.40 
   95  -2.11  -0.99  1.77  0.90 1007  980  1.00  0.40 
   96  -2.08  -1.25  1.79  0.82 1006 1012  1.00  0.40 
   97  -2.11  -1.48  1.83  0.74  982 1014  1.00  0.40 
   98  -2.07  -1.73  1.85  0.65 1021 1027  1.00  0.40 
   99  -1.98  -1.89  1.90  0.59  985  987  1.00  0.40 
  100  -1.89  -2.00  1.91  0.55  999 1018  1.00  0.40 
