// Initial random seed:
1615745811055

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00   89    8  1.00  0.40 
    2   0.00   0.00  0.00  0.00   93    9  1.00  0.40 
    3   0.00   0.00  0.00  0.00  102   12  1.00  0.40 
    4   0.00   0.00  0.00  0.00  101    8  1.00  0.40 
    5   0.01   0.00  0.01  0.00  106   13  1.00  0.40 
    6   0.01   0.00  0.01  0.00   92   12  1.00  0.40 
    7   0.03   0.00  0.02  0.00   95    8  1.00  0.40 
    8   0.03   0.00  0.03  0.00  108    9  1.00  0.40 
    9   0.02   0.00  0.02  0.00  116    9  1.00  0.40 
   10   0.01   0.00  0.02  0.00  102   10  1.00  0.40 
   11   0.01   0.00  0.04  0.00  111   10  1.00  0.40 
   12  -0.01   0.00  0.03  0.00   92    8  1.00  0.40 
   13  -0.02   0.00  0.06  0.00  112    9  1.00  0.40 
   14  -0.03   0.00  0.04  0.00   98   14  1.00  0.40 
   15  -0.03   0.00  0.02  0.00   98   13  1.00  0.40 
   16  -0.07   0.00  0.04  0.00   89   14  1.00  0.40 
   17  -0.07   0.00  0.05  0.00  110    8  1.00  0.40 
   18  -0.04   0.00  0.06  0.00   98    5  1.00  0.40 
   19  -0.00   0.00  0.07  0.00  100   10  1.00  0.40 
   20  -0.03   0.00  0.10  0.00   89   11  1.00  0.40 
   21  -0.04   0.00  0.11  0.00  100    9  1.00  0.40 
   22  -0.05   0.00  0.12  0.00  119   10  1.00  0.40 
   23  -0.03   0.00  0.13  0.00  106    9  1.00  0.40 
   24  -0.01   0.00  0.19  0.00   93   11  1.00  0.40 
   25  -0.04   0.00  0.20  0.00   79   10  1.00  0.40 
   26  -0.04   0.00  0.23  0.00   91   13  1.00  0.40 
   27  -0.08   0.00  0.26  0.00  102    7  1.00  0.40 
   28  -0.07   0.00  0.25  0.00   88   13  1.00  0.40 
   29  -0.14   0.00  0.30  0.00   99    9  1.00  0.40 
   30  -0.12   0.00  0.31  0.00  102   12  1.00  0.40 
   31  -0.06   0.00  0.26  0.00  111    7  1.00  0.40 
   32  -0.05   0.00  0.27  0.00   99   10  1.00  0.40 
   33  -0.13   0.00  0.29  0.00   98    8  1.00  0.40 
   34  -0.18   0.00  0.33  0.00  106    8  1.00  0.40 
   35  -0.13   0.00  0.29  0.00   96   12  1.00  0.40 
   36  -0.16   0.00  0.33  0.00  119   10  1.00  0.40 
   37  -0.14   0.00  0.33  0.00  102    5  1.00  0.40 
   38  -0.07   0.00  0.31  0.00  107   10  1.00  0.40 
   39  -0.16   0.00  0.33  0.00  122   12  1.00  0.40 
   40  -0.09   0.00  0.32  0.00   94   10  1.00  0.40 
   41  -0.10   0.00  0.28  0.00   98   11  1.00  0.40 
   42  -0.06   0.00  0.38  0.00   89   11  1.00  0.40 
   43  -0.04   0.00  0.37  0.00   95    9  1.00  0.40 
   44  -0.10   0.00  0.38  0.00  107    9  1.00  0.40 
   45  -0.10   0.00  0.41  0.00  103   13  1.00  0.40 
   46  -0.12   0.00  0.38  0.00  105   12  1.00  0.40 
   47  -0.11   0.00  0.36  0.00   87   11  1.00  0.40 
