// Initial random seed:
5844065229715

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00      100    10000  1.00  0.40 
    2       0.02      -0.00      0.05      0.00       82    10102  1.00  0.40 
    3       0.09      -0.00      0.29      0.00       60     9960  1.00  0.40 
    4       0.44      -0.00      1.20      0.00       43     9998  1.00  0.40 
    5       0.66      -0.00      1.73      0.00       75    10007  1.00  0.40 
    6       0.75       0.00      1.78      0.00      101    10063  1.00  0.40 
    7       1.04       0.00      1.83      0.00      110    10057  1.00  0.40 
    8       1.59       0.00      1.74      0.00      107     9994  1.00  0.40 
    9       1.99       0.00      1.58      0.01      103     9981  1.00  0.40 
   10       2.18       0.01      1.39      0.01      111     9970  1.00  0.40 
   11       2.32       0.01      1.28      0.01       87    10050  1.00  0.40 
   12       2.36       0.01      1.26      0.01      111    10105  1.00  0.40 
   13       2.43       0.01      1.23      0.02       99    10064  1.00  0.40 
   14       2.45       0.02      1.24      0.02      105     9931  1.00  0.40 
   15       2.48       0.03      1.18      0.03       96     9936  1.00  0.40 
   16       2.47       0.05      1.19      0.05      110     9893  1.00  0.40 
   17       2.49       0.07      1.24      0.06      104     9984  1.00  0.40 
   18       2.51       0.11      1.29      0.09      113     9865  1.00  0.40 
   19       2.56       0.16      1.38      0.12      105     9982  1.00  0.40 
   20       2.59       0.24      1.40      0.17      109    10044  1.00  0.40 
   21       2.62       0.35      1.46      0.24      105    10068  1.00  0.40 
   22       2.67       0.49      1.57      0.31      119     9882  1.00  0.40 
   23       2.70       0.66      1.66      0.40       97    10068  1.00  0.40 
   24       2.76       0.88      1.72      0.52       94     9991  1.00  0.40 
