// Initial random seed:
5202651840059

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(3, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeMutationType(4, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2, m3, m4), c(10, 1, 10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_px	pheno_hx	pheno_py	pheno_hy	div_px	div_hx	div_py	div_hy	eud	div_h	div_p	ind_p	ind_h	sig_K	sig_C
    1      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   10	   10  1.00  0.40 
    2      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	    9	    5  1.00  0.40 
    3      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   15	   10  1.00  0.40 
    4      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	    8	   11  1.00  0.40 
    5      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   12	    9  1.00  0.40 
    6      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   10	    9  1.00  0.40 
    7      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   14	    7  1.00  0.40 
    8      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   10	    9  1.00  0.40 
    9      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   14	   11  1.00  0.40 
   10      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	    5	    9  1.00  0.40 
   11      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   10	   12  1.00  0.40 
   12      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	    6	    6  1.00  0.40 
   13      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   11	   10  1.00  0.40 
   14      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	    6	    9  1.00  0.40 
   15     -0.12      0.00     0.00      0.00     0.19     0.00     0.00     0.00     0.12      0.00     0.19	   10	   10  1.00  0.40 
   16     -0.13      0.00     0.00      0.00     0.21     0.00     0.00     0.00     0.13      0.00     0.21	    9	    6  1.00  0.40 
   17     -0.12      0.00     0.00      0.00     0.19     0.00     0.00     0.00     0.12      0.00     0.19	   10	   11  1.00  0.40 
   18     -0.13      0.00     0.00      0.00     0.21     0.00     0.00     0.00     0.13      0.00     0.21	    9	   14  1.00  0.40 
   19     -0.09      0.00     0.00      0.00     0.15     0.00     0.00     0.00     0.09      0.00     0.15	   13	   11  1.00  0.40 
   20      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   13	   12  1.00  0.40 
   21      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   12	    5  1.00  0.40 
   22      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   10	   10  1.00  0.40 
   23      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	    9	    9  1.00  0.40 
   24      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   14	    9  1.00  0.40 
   25      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	    8	   12  1.00  0.40 
   26      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   10	    8  1.00  0.40 
   27      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   10	   10  1.00  0.40 
   28      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	    7	   10  1.00  0.40 
   29      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   11	   13  1.00  0.40 
   30      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   10	    9  1.00  0.40 
   31      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   11	   11  1.00  0.40 
   32      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	    7	    9  1.00  0.40 
   33      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   13	    6  1.00  0.40 
   34      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   11	    9  1.00  0.40 
   35      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   14	    8  1.00  0.40 
   36      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	    9	   12  1.00  0.40 
   37      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   12	   15  1.00  0.40 
   38      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   13	    9  1.00  0.40 
   39      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   14	    7  1.00  0.40 
   40      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   12	   10  1.00  0.40 
   41      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	    8	    8  1.00  0.40 
   42     -0.01      0.00     0.00      0.00     0.16     0.00     0.00     0.00     0.01      0.00     0.16	   12	    6  1.00  0.40 
   43      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	    4	    8  1.00  0.40 
   44      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	    9	   14  1.00  0.40 
   45      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   12	    8  1.00  0.40 
   46      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   12	   10  1.00  0.40 
   47      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   14	   14  1.00  0.40 
   48      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   12	   12  1.00  0.40 
   49      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	    9	   10  1.00  0.40 
   50      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   13	   10  1.00  0.40 
   51      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	    8	    8  1.00  0.40 
