// Initial random seed:
2469666212549

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00    10000    10000  1.00  0.40 
    2      -0.00      -0.00      0.01      0.00     9933    10058  1.00  0.40 
    3      -0.00       0.00      0.03      0.00     9960     9998  1.00  0.40 
    4      -0.00       0.00      0.05      0.00     9996     9896  1.00  0.40 
    5      -0.01       0.00      0.08      0.00     9886     9962  1.00  0.40 
    6      -0.01       0.00      0.12      0.00     9961    10019  1.00  0.40 
    7      -0.02       0.00      0.17      0.00     9886    10117  1.00  0.40 
    8      -0.04       0.00      0.24      0.00    10091    10019  1.00  0.40 
    9      -0.06      -0.00      0.32      0.00    10025     9959  1.00  0.40 
   10      -0.07      -0.00      0.43      0.00     9906    10133  1.00  0.40 
   11      -0.08      -0.00      0.59      0.00     9920    10129  1.00  0.40 
   12      -0.10      -0.00      0.78      0.00     9939    10071  1.00  0.40 
   13      -0.14      -0.00      1.00      0.00     9866    10124  1.00  0.40 
   14      -0.18      -0.00      1.23      0.01    10030    10173  1.00  0.40 
   15      -0.23      -0.00      1.47      0.01     9891     9922  1.00  0.40 
   16      -0.28       0.00      1.69      0.01     9783    10110  1.00  0.40 
   17      -0.32       0.00      1.85      0.01     9894    10001  1.00  0.40 
   18      -0.34       0.00      1.97      0.01    10123    10051  1.00  0.40 
   19      -0.37       0.00      2.07      0.01    10081     9988  1.00  0.40 
   20      -0.40       0.00      2.13      0.01     9933     9903  1.00  0.40 
   21      -0.38       0.00      2.18      0.01     9949    10004  1.00  0.40 
