// Initial random seed:
1598853090607

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00	 1000	 1000  1.00  0.40 
    2   0.00   0.00  0.00  0.00	 3000	 2000  1.00  0.40 
    3   0.00  -0.00  0.01  0.00	 9000	 4000  1.00  0.40 
    4   0.00  -0.00  0.02  0.00	 9902	 7992  1.00  0.40 
    5   0.00  -0.00  0.03  0.00	 9925	10028  1.00  0.40 
    6  -0.00   0.00  0.05  0.00	 9910	10105  1.00  0.40 
    7   0.00  -0.00  0.06  0.00	 9789	 9920  1.00  0.40 
    8   0.00   0.00  0.08  0.00	10155	 9989  1.00  0.40 
    9   0.00   0.00  0.11  0.01	 9996	10059  1.00  0.40 
   10   0.00   0.00  0.15  0.01	 9788	 9858  1.00  0.40 
   11  -0.00   0.00  0.20  0.01	 9944	10046  1.00  0.40 
   12  -0.01   0.00  0.26  0.01	 9904	 9954  1.00  0.40 
   13  -0.02   0.00  0.34  0.01	10105	10153  1.00  0.40 
   14  -0.03   0.00  0.44  0.01	10024	 9905  1.00  0.40 
   15  -0.04  -0.00  0.54  0.01	 9963	 9930  1.00  0.40 
   16  -0.08  -0.00  0.65  0.01	10137	 9978  1.00  0.40 
   17  -0.11  -0.00  0.77  0.01	10106	 9944  1.00  0.40 
   18  -0.13  -0.00  0.87  0.01	10102	 9788  1.00  0.40 
   19  -0.18  -0.00  0.95  0.01	 9970	10064  1.00  0.40 
   20  -0.20  -0.00  1.02  0.01	 9995	10031  1.00  0.40 
   21  -0.22  -0.00  1.08  0.01	10126	10047  1.00  0.40 
   22  -0.27  -0.00  1.12  0.01	10042	10032  1.00  0.40 
   23  -0.31  -0.00  1.15  0.02	 9934	10015  1.00  0.40 
   24  -0.36  -0.01  1.17  0.02	10088	 9996  1.00  0.40 
   25  -0.37  -0.01  1.19  0.02	10024	10029  1.00  0.40 
   26  -0.41  -0.01  1.21  0.02	10012	10068  1.00  0.40 
   27  -0.46  -0.01  1.22  0.02	 9991	10116  1.00  0.40 
   28  -0.55  -0.01  1.23  0.03	10061	 9902  1.00  0.40 
   29  -0.56  -0.01  1.24  0.03	 9966	10045  1.00  0.40 
   30  -0.57  -0.01  1.25  0.03	10016	10072  1.00  0.40 
   31  -0.59  -0.02  1.27  0.04	 9960	 9959  1.00  0.40 
   32  -0.63  -0.02  1.28  0.05	 9962	 9914  1.00  0.40 
   33  -0.65  -0.04  1.29  0.06	10055	10074  1.00  0.40 
   34  -0.67  -0.05  1.30  0.07	10034	 9966  1.00  0.40 
   35  -0.72  -0.07  1.31  0.08	 9946	 9935  1.00  0.40 
   36  -0.73  -0.09  1.32  0.10	10034	 9980  1.00  0.40 
   37  -0.77  -0.12  1.33  0.12	 9938	 9996  1.00  0.40 
   38  -0.78  -0.15  1.33  0.14	10009	 9954  1.00  0.40 
   39  -0.76  -0.19  1.35  0.15	 9948	 9983  1.00  0.40 
   40  -0.77  -0.25  1.36  0.19	10001	10008  1.00  0.40 
   41  -0.74  -0.31  1.38  0.22	 9940	10001  1.00  0.40 
   42  -0.73  -0.40  1.39  0.26	 9959	10018  1.00  0.40 
   43  -0.72  -0.50  1.39  0.30	 9929	 9973  1.00  0.40 
   44  -0.66  -0.62  1.41  0.35	 9957	 9889  1.00  0.40 
   45  -0.56  -0.72  1.41  0.40	 9978	10001  1.00  0.40 
   46  -0.48  -0.83  1.43  0.44	10136	10131  1.00  0.40 
   47  -0.38  -0.94  1.44  0.48	 9967	 9886  1.00  0.40 
   48  -0.25  -1.05  1.45  0.52	 9994	10055  1.00  0.40 
   49  -0.11  -1.15  1.46  0.56	10060	 9976  1.00  0.40 
   50   0.03  -1.23  1.47  0.59	 9979	 9925  1.00  0.40 
   51   0.21  -1.28  1.48  0.61	 9938	10074  1.00  0.40 
   52   0.35  -1.34  1.48  0.63	 9886	 9964  1.00  0.40 
   53   0.55  -1.38  1.48  0.65	 9986	10045  1.00  0.40 
   54   0.69  -1.39  1.48  0.66	 9946	 9944  1.00  0.40 
   55   0.83  -1.36  1.48  0.68	 9894	10145  1.00  0.40 
   56   0.96  -1.31  1.48  0.69	10070	10075  1.00  0.40 
   57   1.09  -1.26  1.49  0.71	 9944	 9916  1.00  0.40 
   58   1.17  -1.17  1.50  0.73	 9849	 9929  1.00  0.40 
   59   1.26  -1.05  1.50  0.76	 9973	 9927  1.00  0.40 
   60   1.31  -0.87  1.53  0.78	10067	 9964  1.00  0.40 
   61   1.34  -0.70  1.54  0.81	10027	 9888  1.00  0.40 
   62   1.36  -0.49  1.56  0.83	 9790	10099  1.00  0.40 
   63   1.36  -0.23  1.59  0.86	10000	 9998  1.00  0.40 
