// Initial random seed:
1619716653250

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1   0.00   0.00  0.00  0.00 1000    8  1.00  0.40 
    2  -0.00   0.00  0.01  0.00  930    9  1.00  0.40 
    3   0.00   0.00  0.01  0.00  983    9  1.00  0.40 
    4  -0.01   0.00  0.01  0.00  970   10  1.00  0.40 
    5  -0.01   0.00  0.01  0.00 1004   14  1.00  0.40 
    6  -0.02   0.00  0.01  0.00  950   12  1.00  0.40 
    7  -0.03   0.00  0.02  0.00  974   11  1.00  0.40 
    8  -0.02   0.00  0.02  0.00  982    9  1.00  0.40 
    9  -0.03   0.00  0.03  0.00  976    9  1.00  0.40 
   10  -0.03   0.00  0.03  0.00  999   11  1.00  0.40 
   11  -0.03   0.00  0.04  0.00  976   11  1.00  0.40 
   12  -0.03   0.00  0.05  0.00 1000    7  1.00  0.40 
   13  -0.03   0.00  0.06  0.00 1022   10  1.00  0.40 
   14  -0.04   0.00  0.06  0.00 1001    9  1.00  0.40 
   15  -0.04   0.00  0.08  0.00  983   12  1.00  0.40 
   16  -0.05   0.00  0.08  0.00  958   11  1.00  0.40 
   17  -0.05   0.00  0.08  0.00  976   14  1.00  0.40 
   18  -0.05   0.00  0.09  0.00  984    8  1.00  0.40 
   19  -0.05   0.00  0.09  0.00 1005    8  1.00  0.40 
   20  -0.05   0.00  0.10  0.00 1038    9  1.00  0.40 
   21  -0.04   0.00  0.09  0.00  956   10  1.00  0.40 
   22  -0.03   0.00  0.08  0.00 1025    8  1.00  0.40 
   23  -0.02   0.00  0.08  0.00 1039   12  1.00  0.40 
   24  -0.01   0.00  0.08  0.00  997   13  1.00  0.40 
   25  -0.01   0.00  0.09  0.00  988   11  1.00  0.40 
   26  -0.01   0.00  0.10  0.00  987   12  1.00  0.40 
   27  -0.01   0.00  0.11  0.00 1039   15  1.00  0.40 
   28  -0.00   0.00  0.11  0.00 1008   12  1.00  0.40 
   29  -0.00   0.00  0.13  0.00 1012    7  1.00  0.40 
   30   0.02   0.00  0.13  0.00  998   11  1.00  0.40 
   31   0.04   0.00  0.15  0.00 1021    4  1.00  0.40 
   32   0.05   0.00  0.15  0.00  999    8  1.00  0.40 
   33   0.06   0.00  0.14  0.00 1009   10  1.00  0.40 
   34   0.04   0.00  0.11  0.00 1033   14  1.00  0.40 
   35   0.04   0.00  0.12  0.00  973    9  1.00  0.40 
   36   0.05   0.00  0.13  0.00 1013   12  1.00  0.40 
   37   0.05   0.00  0.14  0.00  961   13  1.00  0.40 
   38   0.03   0.00  0.14  0.00 1021    7  1.00  0.40 
   39   0.02   0.00  0.14  0.00 1001   11  1.00  0.40 
   40   0.01   0.00  0.16  0.00  971    9  1.00  0.40 
   41   0.00   0.00  0.16  0.00 1006    9  1.00  0.40 
   42  -0.00   0.00  0.17  0.00 1023    9  1.00  0.40 
   43  -0.02   0.00  0.18  0.00  984   13  1.00  0.40 
   44  -0.02   0.00  0.19  0.00  970    8  1.00  0.40 
   45   0.00   0.00  0.18  0.00 1035    9  1.00  0.40 
   46   0.02   0.00  0.20  0.00  976   12  1.00  0.40 
   47   0.02   0.00  0.19  0.00  973   10  1.00  0.40 
   48   0.01   0.00  0.20  0.00 1014    9  1.00  0.40 
   49   0.03   0.00  0.21  0.00 1027    9  1.00  0.40 
   50   0.03   0.00  0.24  0.00  995    8  1.00  0.40 
   51   0.03   0.00  0.24  0.00 1002    8  1.00  0.40 
   52   0.04   0.00  0.26  0.00 1032   10  1.00  0.40 
   53   0.02   0.00  0.25  0.00 1016    8  1.00  0.40 
   54   0.02   0.00  0.24  0.00  976   12  1.00  0.40 
   55   0.00   0.00  0.23  0.00  990    9  1.00  0.40 
   56   0.00   0.00  0.24  0.00 1035   11  1.00  0.40 
   57   0.00   0.00  0.24  0.00  996    7  1.00  0.40 
   58  -0.01   0.00  0.24  0.00 1034   10  1.00  0.40 
   59   0.00   0.00  0.25  0.00  990    8  1.00  0.40 
   60  -0.00   0.00  0.26  0.00  995    8  1.00  0.40 
   61  -0.00   0.00  0.26  0.00 1012    6  1.00  0.40 
   62  -0.01   0.00  0.26  0.00 1008   10  1.00  0.40 
   63  -0.01   0.00  0.28  0.00  963   10  1.00  0.40 
   64  -0.02   0.00  0.26  0.00  971   11  1.00  0.40 
   65  -0.02   0.00  0.27  0.00  992    5  1.00  0.40 
   66  -0.04   0.00  0.29  0.00  988   10  1.00  0.40 
   67  -0.04   0.00  0.28  0.00  975    7  1.00  0.40 
   68  -0.04   0.00  0.26  0.00  976    9  1.00  0.40 
   69  -0.05   0.00  0.26  0.00 1031   10  1.00  0.40 
   70  -0.04   0.00  0.28  0.00 1028    6  1.00  0.40 
   71  -0.05  -0.06  0.27  0.12  969    8  1.00  0.40 
