// Initial random seed:
5489329172597

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1 	  0.00 	  0.00	  0.00	  0.00      100      100  1.00  0.40 
    2 	  0.00 	  0.00	  0.00	  0.00      120      109  1.00  0.40 
    3 	 -0.01 	  0.00	  0.01	  0.00       96       93  1.00  0.40 
    4 	 -0.01 	  0.00	  0.01	  0.00       96      101  1.00  0.40 
    5 	  0.02 	  0.00	  0.02	  0.00       89       90  1.00  0.40 
    6 	  0.01 	  0.00	  0.02	  0.00      109      102  1.00  0.40 
    7 	  0.07 	  0.00	  0.04	  0.00       91      103  1.00  0.40 
    8 	  0.10 	  0.00	  0.06	  0.00      105       98  1.00  0.40 
    9 	  0.21 	  0.00	  0.12	  0.00       96      107  1.00  0.40 
   10 	  0.32 	  0.00	  0.18	  0.00      103       95  1.00  0.40 
   11 	  0.45 	  0.00	  0.21	  0.00       85       93  1.00  0.40 
   12 	  0.55 	  0.00	  0.30	  0.00       97      109  1.00  0.40 
   13 	  0.77 	  0.02	  0.37	  0.01       96       93  1.00  0.40 
   14 	  0.85 	  0.02	  0.43	  0.01       90      101  1.00  0.40 
   15 	  0.99 	  0.02	  0.59	  0.01       92      105  1.00  0.40 
   16 	  1.02 	  0.00	  0.62	  0.00       81      103  1.00  0.40 
   17 	  1.16 	 -0.00	  0.71	  0.01      100       96  1.00  0.40 
   18 	  1.26 	 -0.00	  0.76	  0.01      106      103  1.00  0.40 
   19 	  1.27 	 -0.00	  0.76	  0.01      110      104  1.00  0.40 
   20 	  1.59 	  0.00	  0.71	  0.00       97       95  1.00  0.40 
   21 	  1.68 	  0.00	  0.69	  0.00       98      103  1.00  0.40 
   22 	  1.93 	  0.00	  0.67	  0.00       95       93  1.00  0.40 
   23 	  2.07 	  0.00	  0.66	  0.00      102       96  1.00  0.40 
   24 	  2.18 	  0.00	  0.66	  0.00       92      102  1.00  0.40 
   25 	  2.08 	  0.00	  0.69	  0.00      102      105  1.00  0.40 
   26 	  2.24 	  0.00	  0.71	  0.00       83      111  1.00  0.40 
   27 	  2.20 	  0.00	  0.71	  0.00      105       86  1.00  0.40 
   28 	  2.36 	  0.00	  0.71	  0.01       97      103  1.00  0.40 
   29 	  2.54 	  0.00	  0.74	  0.00      102       85  1.00  0.40 
   30 	  2.52 	  0.00	  0.73	  0.00      106       92  1.00  0.40 
   31 	  2.42 	  0.00	  0.74	  0.00       97      106  1.00  0.40 
   32 	  2.44 	  0.00	  0.74	  0.00      109      101  1.00  0.40 
   33 	  2.41 	  0.00	  0.80	  0.00       95       95  1.00  0.40 
   34 	  2.32 	  0.00	  0.81	  0.00      109      107  1.00  0.40 
   35 	  2.32 	  0.00	  0.75	  0.00       99      110  1.00  0.40 
   36 	  2.51 	  0.00	  0.75	  0.00       97      113  1.00  0.40 
   37 	  2.60 	  0.00	  0.76	  0.00      109       95  1.00  0.40 
   38 	  2.70 	 -0.00	  0.83	  0.01      106       95  1.00  0.40 
   39 	  2.57 	 -0.01	  0.81	  0.02       94       98  1.00  0.40 
   40 	  2.57 	 -0.01	  0.81	  0.02      101       93  1.00  0.40 
   41 	  2.59 	 -0.00	  0.80	  0.01       98      103  1.00  0.40 
   42 	  2.60 	 -0.01	  0.83	  0.01       98       90  1.00  0.40 
