gen	pheno_px	pheno_hx	pheno_py	pheno_hy	div_px	div_hx	div_py	div_hy	eud	div_h	div_p	ind_p	ind_h	sig_K	sig_C
    1      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	 1000	   10  1.00  0.40 
    2      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	  991	   12  1.00  0.40 
    3      0.00      0.00    -0.00      0.00     0.01     0.00     0.00     0.00     0.00      0.00     0.01	  980	   10  1.00  0.40 
    4      0.00      0.00    -0.00      0.00     0.01     0.00     0.00     0.00     0.00      0.00     0.02	 1005	   10  1.00  0.40 
    5      0.00      0.00    -0.00      0.00     0.01     0.00     0.01     0.00     0.00      0.00     0.02	 1018	   12  1.00  0.40 
    6      0.00      0.00     0.00      0.00     0.03     0.00     0.02     0.00     0.00      0.00     0.05	  967	   11  1.00  0.40 
    7      0.00      0.00     0.00      0.00     0.03     0.00     0.03     0.00     0.00      0.00     0.06	  992	    8  1.00  0.40 
    8      0.00      0.00     0.00      0.00     0.04     0.00     0.04     0.00     0.00      0.00     0.09	 1022	   10  1.00  0.40 
    9      0.00      0.00     0.00      0.00     0.05     0.00     0.06     0.00     0.00      0.00     0.11	 1015	   10  1.00  0.40 
   10      0.00      0.00     0.00      0.00     0.04     0.00     0.07     0.00     0.00      0.00     0.11	  972	    9  1.00  0.40 
   11      0.00      0.00     0.01      0.00     0.05     0.00     0.10     0.00     0.01      0.00     0.15	 1030	    6  1.00  0.40 
   12      0.00      0.00     0.01      0.00     0.06     0.00     0.09     0.00     0.01      0.00     0.15	  989	    9  1.00  0.40 
   13      0.01      0.00     0.00      0.00     0.06     0.00     0.08     0.00     0.01      0.00     0.14	 1013	   13  1.00  0.40 
   14      0.01      0.00     0.00      0.00     0.05     0.00     0.09     0.00     0.01      0.00     0.15	 1018	   11  1.00  0.40 
   15      0.00      0.00    -0.00      0.00     0.05     0.00     0.12     0.00     0.00      0.00     0.17	 1012	   11  1.00  0.40 
   16      0.01      0.00     0.01      0.00     0.06     0.00     0.13     0.00     0.01      0.00     0.19	 1036	    7  1.00  0.40 
   17      0.00      0.00     0.01      0.00     0.08     0.00     0.14     0.00     0.01      0.00     0.22	  973	    9  1.00  0.40 
   18      0.01      0.00     0.01      0.00     0.09     0.00     0.13     0.00     0.01      0.00     0.22	  946	   10  1.00  0.40 
   19      0.01      0.00     0.01      0.00     0.09     0.00     0.13     0.00     0.01      0.00     0.22	  973	    9  1.00  0.40 
   20      0.01      0.00     0.02      0.00     0.10     0.00     0.14     0.00     0.02      0.00     0.24	  998	   11  1.00  0.40 
   21      0.01      0.00     0.02      0.00     0.09     0.00     0.14     0.00     0.02      0.00     0.24	  987	    6  1.00  0.40 
   22      0.00      0.00     0.02      0.00     0.09     0.00     0.17     0.00     0.02      0.00     0.26	 1009	   11  1.00  0.40 
