gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00    10000      100  1.00  0.40 
    2       0.00       0.00      0.01      0.00    10020      103  1.00  0.40 
    3       0.00       0.00      0.03      0.00    10053      102  1.00  0.40 
    4       0.00       0.00      0.03      0.00    10021       96  1.00  0.40 
    5      -0.00       0.00      0.05      0.00     9884       96  1.00  0.40 
    6      -0.01       0.00      0.06      0.00    10075      109  1.00  0.40 
    7      -0.00       0.00      0.08      0.00     9900      101  1.00  0.40 
    8      -0.01       0.00      0.09      0.00    10064       88  1.00  0.40 
    9      -0.01       0.00      0.11      0.00    10090      101  1.00  0.40 
   10      -0.01       0.00      0.13      0.00    10055       99  1.00  0.40 
   11      -0.01       0.00      0.13      0.00    10018       99  1.00  0.40 
   12      -0.01       0.00      0.15      0.00    10037      102  1.00  0.40 
   13      -0.01       0.00      0.17      0.00     9822      109  1.00  0.40 
   14      -0.01       0.00      0.18      0.00    10135      103  1.00  0.40 
   15      -0.01      -0.01      0.19      0.01     9995       85  1.00  0.40 
   16      -0.01      -0.01      0.20      0.02    10050       95  1.00  0.40 
   17      -0.01      -0.01      0.21      0.01     9936      108  1.00  0.40 
   18      -0.01      -0.01      0.23      0.01     9967       89  1.00  0.40 
   19      -0.01       0.00      0.24      0.00    10069       99  1.00  0.40 
   20      -0.01       0.00      0.26      0.00     9975       89  1.00  0.40 
   21      -0.01       0.00      0.28      0.00    10102      114  1.00  0.40 
   22      -0.01       0.00      0.29      0.00    10038      103  1.00  0.40 
   23      -0.01       0.00      0.30      0.00     9945       97  1.00  0.40 
   24      -0.02       0.00      0.31      0.00    10065       90  1.00  0.40 
   25      -0.01       0.00      0.31      0.00    10058      106  1.00  0.40 
   26      -0.01       0.00      0.33      0.00    10159      100  1.00  0.40 
   27      -0.01       0.00      0.33      0.00     9982      102  1.00  0.40 
   28      -0.01       0.00      0.34      0.00    10106      102  1.00  0.40 
   29      -0.01       0.00      0.34      0.00     9957       96  1.00  0.40 
   30      -0.02       0.00      0.36      0.00     9927      109  1.00  0.40 
   31      -0.02       0.00      0.37      0.00    10129       96  1.00  0.40 
   32      -0.02       0.00      0.38      0.00    10035       92  1.00  0.40 
   33      -0.02       0.00      0.38      0.02    10083       93  1.00  0.40 
   34      -0.01       0.00      0.39      0.03     9971      106  1.00  0.40 
   35      -0.01       0.00      0.40      0.02    10085      101  1.00  0.40 
   36      -0.01       0.01      0.41      0.03     9927       99  1.00  0.40 
   37      -0.01       0.00      0.42      0.01    10137      104  1.00  0.40 
   38      -0.00       0.00      0.43      0.01    10154      109  1.00  0.40 
   39      -0.00       0.00      0.44      0.01    10083       99  1.00  0.40 
   40      -0.01       0.00      0.44      0.00    10131       97  1.00  0.40 
   41      -0.02       0.00      0.45      0.00    10071      106  1.00  0.40 
   42      -0.02       0.00      0.48      0.00     9914      106  1.00  0.40 
   43      -0.02       0.00      0.49      0.00     9890       91  1.00  0.40 
   44      -0.02       0.00      0.50      0.00    10008      104  1.00  0.40 
   45      -0.02       0.00      0.51      0.00     9912      105  1.00  0.40 
   46      -0.02       0.00      0.52      0.00     9986      106  1.00  0.40 
   47      -0.03       0.00      0.54      0.00    10172       91  1.00  0.40 
   48      -0.03      -0.00      0.57      0.01    10104      114  1.00  0.40 
   49      -0.03      -0.01      0.58      0.02     9855       92  1.00  0.40 
   50      -0.04      -0.01      0.59      0.03     9989      107  1.00  0.40 
   51      -0.04      -0.01      0.61      0.02    10082       98  1.00  0.40 
