// Initial random seed:
3818540927874

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(3, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeMutationType(4, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2, m3, m4), c(10, 1, 10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_px	pheno_hx	pheno_py	pheno_hy	div_px	div_hx	div_py	div_hy	eud	div_h	div_p	ind_p	ind_h	sig_K	sig_C
    1      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   10	 1000  1.00  0.40 
    2      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   12	 1030  1.00  0.40 
    3      0.00      0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00	   11	 1025  1.00  0.40 
    4      0.00      0.00     0.04      0.00     0.00     0.00     0.18     0.00     0.04      0.00     0.18	   10	 1001  1.00  0.40 
    5      0.00      0.00     0.15     -0.00     0.00     0.00     0.47     0.00     0.15      0.01     0.47	    8	  984  1.00  0.40 
    6      0.00      0.00     0.27      0.00     0.00     0.00     0.42     0.00     0.27      0.01     0.42	   10	 1014  1.00  0.40 
    7      0.00      0.00     0.39      0.00     0.00     0.00     0.00     0.00     0.39      0.00     0.00	   11	 1010  1.00  0.40 
    8      0.00      0.00     0.39      0.00     0.00     0.00     0.00     0.00     0.39      0.00     0.00	   10	 1012  1.00  0.40 
    9      0.00      0.00     0.39      0.00     0.00     0.00     0.00     0.00     0.39      0.00     0.00	   11	  995  1.00  0.40 
   10     -0.22      0.00     0.39      0.00     0.28     0.00     0.00     0.00     0.45      0.00     0.28	    6	  993  1.00  0.40 
