// Initial random seed:
5042008482888

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
    1       0.00       0.00      0.00      0.00       10    10000  1.00  0.40 
    2       0.00       0.00      0.00      0.00       10     9953  1.00  0.40 
    3       0.00      -0.00      0.00      0.00        6    10187  1.00  0.40 
    4       0.00      -0.00      0.00      0.00        9    10050  1.00  0.40 
    5       0.00       0.00      0.00      0.00       11    10028  1.00  0.40 
    6       0.00      -0.00      0.00      0.00        6     9961  1.00  0.40 
    7       0.00       0.00      0.00      0.00       11    10057  1.00  0.40 
    8       0.00      -0.00      0.00      0.00       11    10001  1.00  0.40 
    9      -0.33      -0.00      0.44      0.00        3     9972  1.00  0.40 
   10      -1.00      -0.00      0.00      0.01        3     9965  1.00  0.40 
   11      -1.00      -0.00      0.00      0.01        9    10050  1.00  0.40 
   12      -1.00      -0.00      0.00      0.01       12     9917  1.00  0.40 
   13      -1.00      -0.01      0.00      0.01       10    10108  1.00  0.40 
   14      -1.00      -0.01      0.00      0.01       12     9958  1.00  0.40 
   15      -1.00      -0.01      0.00      0.02       11    10064  1.00  0.40 
   16      -1.12      -0.01      0.17      0.02       11     9951  1.00  0.40 
   17      -1.36      -0.01      0.41      0.02        7    10042  1.00  0.40 
   18      -1.63      -0.01      0.50      0.02       10    10026  1.00  0.40 
   19      -2.25      -0.02      0.00      0.03        6     9911  1.00  0.40 
   20      -2.25      -0.02      0.00      0.03        8     9920  1.00  0.40 
   21      -2.25      -0.03      0.00      0.04       12     9900  1.00  0.40 
   22      -2.25      -0.03      0.00      0.05        9     9856  1.00  0.40 
   23      -2.25      -0.05      0.00      0.06       10    10024  1.00  0.40 
   24      -2.25      -0.06      0.00      0.08        8    10158  1.00  0.40 
   25      -2.25      -0.08      0.00      0.10       11    10117  1.00  0.40 
   26      -2.25      -0.11      0.00      0.13       12    10046  1.00  0.40 
   27      -2.25      -0.16      0.00      0.16        6     9873  1.00  0.40 
   28      -2.25      -0.21      0.00      0.21       12     9989  1.00  0.40 
   29      -2.25      -0.28      0.00      0.26        9     9912  1.00  0.40 
   30      -2.25      -0.37      0.00      0.33       12    10152  1.00  0.40 
   31      -2.25      -0.49      0.00      0.42        7     9930  1.00  0.40 
   32      -2.25      -0.65      0.00      0.53       13     9991  1.00  0.40 
   33      -2.25      -0.82      0.00      0.64       11     9927  1.00  0.40 
   34      -2.25      -1.00      0.00      0.75       10     9881  1.00  0.40 
   35      -2.25      -1.18      0.00      0.83        9     9826  1.00  0.40 
   36      -2.25      -1.35      0.00      0.92       10    10110  1.00  0.40 
   37      -2.25      -1.51      0.00      0.99        5     9913  1.00  0.40 
   38      -2.25      -1.65      0.00      1.06        9    10017  1.00  0.40 
   39      -2.25      -1.78      0.00      1.10        5     9898  1.00  0.40 
   40      -2.25      -1.89      0.00      1.14       12     9969  1.00  0.40 
   41      -2.25      -1.98      0.00      1.18       10     9977  1.00  0.40 
   42      -2.25      -2.05      0.00      1.20       11     9982  1.00  0.40 
   43      -2.25      -2.12      0.00      1.21        8    10143  1.00  0.40 
   44      -2.36      -2.17      0.22      1.21        8    10078  1.00  0.40 
   45      -2.54      -2.22      0.44      1.21        9    10065  1.00  0.40 
   46      -2.73      -2.28      0.49      1.22        9     9873  1.00  0.40 
   47      -2.94      -2.35      0.32      1.23       10     9936  1.00  0.40 
   48      -3.12      -2.41      0.17      1.23       11    10115  1.00  0.40 
